Section,Title,Primary_Source_URL,Source_Host,Passages_Retained,Words_Retained,Compiled_By,Data_Verification_Source
1,"An Assessment of the Use of a Carbon Fiber Heating Element in Resistance Welding for PPS, PEI, LM-PAEK, and PEKK Thermop",https://ntrs.nasa.gov/citations/20250001324,ntrs.nasa.gov,10,905,Kubota Research Archive,https://kubotaresearch.com/#s1
2,NASA TM TDEA thermoplastic composite welding,https://ntrs.nasa.gov/citations/20250008644,ntrs.nasa.gov,10,1445,Kubota Research Archive,https://kubotaresearch.com/#s2
3,Thermoplastic Composite High Rate Fuselage Manufacturing Demonstrator,https://ntrs.nasa.gov/citations/20250005727,ntrs.nasa.gov,10,1539,Kubota Research Archive,https://kubotaresearch.com/#s3
4,Thermoplastic Aircraft Manufacturing Model,https://ntrs.nasa.gov/citations/20240000967,ntrs.nasa.gov,10,1495,Kubota Research Archive,https://kubotaresearch.com/#s4
5,Manufacturing and Mechanical Testing of TC1225/LM-PAEK and TC1200/PEEK Thermoplastic Composite Panels,https://ntrs.nasa.gov/citations/20220015690,ntrs.nasa.gov,10,1394,Kubota Research Archive,https://kubotaresearch.com/#s5
6,Amorphous Bonding for in-Space Welding of Thermoplastic Composite Deployable Structures,https://ntrs.nasa.gov/citations/20250000549,ntrs.nasa.gov,10,1246,Kubota Research Archive,https://kubotaresearch.com/#s6
7,NASA TM thermoplastic joining resistance induction ultrasonic,https://ntrs.nasa.gov/citations/20250006527,ntrs.nasa.gov,10,1403,Kubota Research Archive,https://kubotaresearch.com/#s7
8,"Manufacture, Characterization, and Fusion Welding of Thermoplastic Composites for Space Applications",https://ntrs.nasa.gov/citations/20240012394,ntrs.nasa.gov,10,1375,Kubota Research Archive,https://kubotaresearch.com/#s8
9,Finite Element Thermal Model for Ultrasonic Welding of Thermoplastic Composites,https://ntrs.nasa.gov/citations/20240005126,ntrs.nasa.gov,10,1371,Kubota Research Archive,https://kubotaresearch.com/#s9
10,Innovations in Continuous Ultrasonic Welding of Thermoplastic Composites and Evaluation for Space Applications,https://ntrs.nasa.gov/citations/20240002138,ntrs.nasa.gov,8,995,Kubota Research Archive,https://kubotaresearch.com/#s10
11,Thermoplastic Composite Aircraft Manufacturing Model,https://ntrs.nasa.gov/citations/20240005584,ntrs.nasa.gov,8,1109,Kubota Research Archive,https://kubotaresearch.com/#s11
12,Thermoplastic Composite Lunar Tower Truss Structure: Design Development and Verification Plans,https://ntrs.nasa.gov/citations/20240002083,ntrs.nasa.gov,3,332,Kubota Research Archive,https://kubotaresearch.com/#s12
